2015/01/24,BA,76,21,6,81,15
2015/01/27,BA,66,26,4,51,50
2015/01/29,BA,12,72,35,1,45
2015/01/31,BA,36,16,87,7,22
2015/02/03,BA,52,68,39,5,85
2015/02/05,BA,51,25,50,86,63
2015/02/07,BA,15,34,82,38,73
2015/02/10,BA,6,88,7,56,49
2015/02/12,BA,13,89,71,39,32
2015/02/14,BA,58,35,17,37,30
2015/02/17,BA,80,82,5,60,33
2015/02/19,BA,6,32,85,13,62
2015/02/21,BA,29,32,23,46,50
2015/02/24,BA,62,37,58,74,87
2015/02/26,BA,58,75,78,29,17
2015/02/28,BA,35,42,52,87,47
2015/03/03,BA,19,71,43,37,66
2015/03/05,BA,30,6,63,58,87
2015/03/07,BA,72,82,86,35,4
2015/03/10,BA,50,47,69,86,72
2015/03/12,BA,26,16,73,89,90
2015/03/14,BA,44,73,26,87,89
2015/03/17,BA,81,26,57,10,62
2015/03/19,BA,61,65,72,38,11
2015/03/21,BA,73,87,58,34,69
2015/03/24,BA,50,61,77,59,81
2015/03/26,BA,23,53,46,20,85
2015/03/28,BA,76,65,74,75,43
2015/03/31,BA,9,1,43,79,28
2015/04/02,BA,40,43,28,16,6
2015/04/04,BA,17,89,45,43,72
2015/04/07,BA,78,70,45,64,71
2015/04/09,BA,56,37,35,61,79
2015/04/11,BA,72,10,53,52,15
2015/04/14,BA,27,47,52,46,50
2015/04/16,BA,37,33,41,49,59
2015/04/18,BA,38,84,64,66,90
2015/04/21,BA,8,46,47,85,6
2015/04/23,BA,35,48,42,15,37
2015/04/27,BA,90,15,32,55,2
2015/04/28,BA,47,57,10,22,39
2015/04/30,BA,56,11,73,36,13
2015/05/02,BA,89,30,86,72,65
2015/05/05,BA,12,3,52,40,39
2015/05/07,BA,21,12,10,5,22
2015/05/09,BA,90,80,38,88,30
2015/05/12,BA,70,26,35,38,68
2015/05/14,BA,57,46,41,32,78
2015/05/16,BA,47,65,59,35,80
2015/05/19,BA,8,48,4,63,11
2015/05/21,BA,64,56,20,21,23
2015/05/23,BA,57,61,25,29,21
2015/05/26,BA,47,64,50,59,15
2015/05/28,BA,53,16,17,40,41
2015/05/30,BA,14,1,46,80,83
2015/06/03,BA,40,55,75,13,15
2015/06/04,BA,38,2,14,45,74
2015/06/06,BA,52,9,61,41,30
2015/06/09,BA,5,13,78,64,87
2015/06/11,BA,36,30,7,18,85
2015/06/13,BA,19,4,41,48,20
2015/06/16,BA,18,69,40,37,3
2015/06/18,BA,36,22,62,26,28
2015/06/20,BA,10,14,50,45,79
2015/06/23,BA,26,67,38,37,15
2015/06/25,BA,47,66,80,75,53
2015/06/27,BA,56,51,87,41,44
2015/06/30,BA,56,90,54,85,2
2015/07/02,BA,1,25,39,13,31
2015/07/04,BA,20,81,55,24,57
2015/07/07,BA,25,60,75,43,18
2015/07/09,BA,87,21,12,29,1
2015/07/11,BA,13,75,45,77,57
2015/07/14,BA,33,6,82,67,38
2015/07/16,BA,80,89,6,46,60
2015/07/18,BA,3,25,41,31,11
2015/07/21,BA,61,65,46,51,57
2015/07/23,BA,2,86,8,84,5
2015/07/25,BA,58,46,41,40,39
2015/07/28,BA,64,4,25,41,3
2015/07/30,BA,87,19,62,78,52
2015/08/01,BA,34,64,37,3,18
2015/08/04,BA,62,9,75,61,8
2015/08/06,BA,25,38,70,10,1
2015/08/08,BA,21,12,8,68,46
2015/08/11,BA,27,2,89,16,5
2015/08/13,BA,4,9,20,3,51
2015/08/17,BA,90,82,1,75,11
2015/08/18,BA,65,51,76,27,5
2015/08/20,BA,46,59,31,66,39
2015/08/22,BA,26,5,40,9,64
2015/08/25,BA,79,9,35,32,65
2015/08/27,BA,43,54,85,73,7
2015/08/29,BA,45,29,86,89,14
2015/09/01,BA,73,20,26,43,90
2015/09/03,BA,37,78,66,46,58
2015/09/05,BA,61,71,43,84,28
2015/09/08,BA,5,26,68,75,28
2015/09/10,BA,43,50,84,33,54
2015/09/12,BA,7,51,36,61,64
2015/09/15,BA,3,53,8,73,74
2015/09/17,BA,11,76,51,67,42
2015/09/19,BA,54,24,71,62,83
2015/09/22,BA,73,15,49,1,75
2015/09/24,BA,3,66,6,25,2
2015/09/26,BA,90,73,29,2,24
2015/09/29,BA,79,21,1,34,9
2015/10/01,BA,82,72,5,24,2
2015/10/03,BA,58,88,60,38,31
2015/10/06,BA,65,45,33,62,68
2015/10/08,BA,42,56,9,8,11
2015/10/10,BA,87,16,66,18,61
2015/10/13,BA,13,63,8,11,43
2015/10/15,BA,77,1,13,23,56
2015/10/17,BA,25,33,1,5,54
2015/10/20,BA,40,61,82,66,3
2015/10/22,BA,55,83,86,70,60
2015/10/24,BA,13,52,8,3,18
2015/10/27,BA,86,67,65,83,77
2015/10/29,BA,57,26,81,70,77
2015/10/31,BA,6,16,23,88,58
2015/11/03,BA,28,4,5,77,27
2015/11/05,BA,20,57,26,77,55
2015/11/07,BA,32,56,36,90,83
2015/11/10,BA,84,15,4,42,82
2015/11/12,BA,83,84,26,52,69
2015/11/14,BA,89,29,73,65,13
2015/11/17,BA,57,36,65,33,53
2015/11/19,BA,69,2,43,18,76
2015/11/21,BA,64,66,41,75,86
2015/11/24,BA,72,4,40,28,80
2015/11/26,BA,9,86,14,76,10
2015/11/28,BA,25,73,4,58,44
2015/12/01,BA,90,63,44,43,85
2015/12/03,BA,61,30,42,16,28
2015/12/05,BA,15,36,24,13,6
2015/12/09,BA,83,52,68,27,3
2015/12/10,BA,8,36,21,57,28
2015/12/12,BA,23,52,13,48,47
2015/12/15,BA,62,29,50,49,12
2015/12/17,BA,81,39,20,44,76
2015/12/19,BA,79,24,88,11,35
2015/12/22,BA,25,83,65,71,70
2015/12/24,BA,5,15,9,53,65
2015/12/28,BA,36,73,31,71,77
2015/12/29,BA,61,3,1,42,8
2015/12/31,BA,33,78,6,89,74
2016/01/02,BA,57,53,33,10,61
2016/01/05,BA,41,39,3,59,89
2016/01/07,BA,65,49,34,39,88
2016/01/09,BA,29,40,7,89,59
2016/01/12,BA,8,67,3,71,42
2016/01/14,BA,11,15,12,8,75
2016/01/16,BA,10,63,79,88,24
2016/01/19,BA,17,24,69,40,3
2016/01/21,BA,1,74,38,61,90
2016/01/23,BA,23,86,4,48,63
2016/01/26,BA,44,35,13,78,42
2016/01/28,BA,46,73,37,58,45
2016/01/30,BA,82,59,11,33,50
2016/02/02,BA,74,23,36,27,5
2016/02/04,BA,61,87,13,54,31
2016/02/06,BA,19,70,12,44,42
2016/02/09,BA,70,63,52,54,25
2016/02/11,BA,16,58,83,7,15
2016/02/13,BA,33,27,1,76,83
2016/02/16,BA,75,80,43,71,14
2016/02/18,BA,31,33,67,37,74
2016/02/20,BA,74,32,5,49,59
2016/02/23,BA,38,34,74,85,20
2016/02/25,BA,32,82,75,74,34
2016/02/27,BA,30,17,54,83,68
2016/03/01,BA,30,47,79,10,67
2016/03/03,BA,13,53,29,15,20
2016/03/05,BA,12,67,32,37,23
2016/03/08,BA,81,7,87,61,71
2016/03/10,BA,34,27,82,5,11
2016/03/12,BA,86,69,79,81,22
2016/03/15,BA,32,40,53,20,8
2016/03/17,BA,83,29,23,24,59
2016/03/19,BA,44,56,69,61,32
2016/03/22,BA,21,5,65,52,88
2016/03/24,BA,52,76,55,86,67
2016/03/26,BA,61,88,70,85,83
2016/03/29,BA,71,55,84,30,3
2016/03/31,BA,79,38,71,31,13
2016/04/02,BA,3,86,38,20,46
2016/04/05,BA,20,76,61,25,57
2016/04/07,BA,23,15,68,22,11
2016/04/09,BA,15,48,22,21,1
2016/04/12,BA,77,19,18,12,86
2016/04/14,BA,30,5,48,89,3
2016/04/16,BA,69,70,12,10,14
2016/04/19,BA,51,77,62,69,49
2016/04/21,BA,34,78,33,12,59
2016/04/23,BA,55,64,87,81,27
2016/04/26,BA,74,5,71,25,88
2016/04/28,BA,11,13,78,48,20
2016/04/30,BA,39,8,24,37,17
2016/05/03,BA,29,56,44,16,77
2016/05/05,BA,27,66,87,20,3
2016/05/07,BA,49,15,34,11,65
2016/05/10,BA,60,27,75,73,83
2016/05/12,BA,25,68,62,86,47
2016/05/14,BA,57,49,30,74,3
2016/05/17,BA,18,45,74,32,3
2016/05/19,BA,15,50,6,38,83
2016/05/21,BA,42,8,9,5,3
2016/05/24,BA,3,46,63,74,56
2016/05/26,BA,69,39,24,41,22
2016/05/28,BA,6,31,48,87,24
2016/05/31,BA,56,13,17,36,8
2016/06/03,BA,19,74,64,52,65
2016/06/04,BA,11,61,48,17,66
2016/06/07,BA,1,36,38,54,64
2016/06/09,BA,34,53,5,7,62
2016/06/11,BA,39,11,6,64,20
2016/06/14,BA,6,62,46,80,37
2016/06/16,BA,74,22,33,84,7
2016/06/18,BA,63,76,74,73,30
2016/06/21,BA,20,33,23,62,76
2016/06/23,BA,17,81,90,68,70
2016/06/25,BA,7,9,10,54,27
2016/06/28,BA,59,46,72,61,44
2016/06/30,BA,33,40,44,41,89
2016/07/02,BA,73,38,75,39,52
2016/07/05,BA,80,54,8,43,60
2016/07/07,BA,9,87,18,26,88
2016/07/09,BA,61,58,44,69,80
2016/07/12,BA,69,50,73,11,89
2016/07/14,BA,6,77,54,87,35
2016/07/16,BA,56,89,9,54,47
2016/07/19,BA,20,66,76,48,53
2016/07/21,BA,77,2,89,8,76
2016/07/23,BA,25,59,15,16,5
2016/07/26,BA,86,51,2,62,71
2016/07/28,BA,83,81,72,77,59
2016/07/30,BA,66,88,12,11,17
2016/08/02,BA,23,69,48,76,25
2016/08/04,BA,65,60,32,42,90
2016/08/06,BA,66,33,75,1,41
2016/08/09,BA,10,41,45,54,1
2016/08/11,BA,86,25,69,34,51
2016/08/13,BA,43,34,67,35,68
2016/08/16,BA,8,63,45,30,79
2016/08/18,BA,63,70,33,67,37
2016/08/20,BA,26,24,3,37,62
2016/08/23,BA,9,74,3,72,53
2016/08/25,BA,46,43,74,38,54
2016/08/27,BA,39,24,62,17,52
2016/08/30,BA,76,5,37,40,84
2016/09/01,BA,36,31,32,71,34
2016/09/03,BA,41,17,75,57,65
2016/09/06,BA,36,60,22,29,65
2016/09/08,BA,23,89,66,20,18
2016/09/10,BA,4,73,13,89,23
2016/09/13,BA,80,78,29,45,18
2016/09/15,BA,80,39,82,54,24
2016/09/17,BA,89,3,82,25,17
2016/09/20,BA,76,87,12,84,80
2016/09/22,BA,34,12,68,2,80
2016/09/24,BA,32,7,11,25,43
2016/09/27,BA,5,74,9,35,1
2016/09/29,BA,30,10,59,84,36
2016/10/01,BA,63,26,54,11,50
2016/10/04,BA,35,54,3,41,29
2016/10/06,BA,66,46,48,43,74
2016/10/08,BA,9,28,54,62,59
2016/10/11,BA,77,64,13,10,29
2016/10/13,BA,28,66,38,83,25
2016/10/15,BA,67,51,10,76,69
2016/10/18,BA,33,45,35,75,5
2016/10/20,BA,86,76,33,82,35
2016/10/22,BA,64,90,40,88,25
2016/10/25,BA,49,25,53,15,65
2016/10/27,BA,75,22,27,87,17
2016/10/29,BA,17,22,52,33,47
2016/11/02,BA,57,37,49,10,17
2016/11/03,BA,14,60,58,48,28
2016/11/05,BA,19,40,9,20,87
2016/11/08,BA,31,19,38,12,7
2016/11/10,BA,62,8,18,26,87
2016/11/12,BA,53,71,35,70,82
2016/11/15,BA,28,63,15,86,79
2016/11/17,BA,79,16,60,65,75
2016/11/19,BA,57,81,8,7,76
2016/11/22,BA,68,19,5,48,59
2016/11/24,BA,25,47,22,13,88
2016/11/26,BA,2,5,28,3,31
2016/11/29,BA,88,54,27,30,59
2016/12/01,BA,15,4,9,70,6
2016/12/03,BA,67,86,74,73,29
