Ambi,uscite,Spia10,rip10,tra10,Spia20,rip20,tra20
"[5, 63]",13,29,17,-2,89,21,14
"[5, 64]",20,46,21,2,89,35,14
"[5, 65]",22,37,21,-2,81,40,15
"[5, 66]",31,34,33,-10,40,52,11
"[5, 67]",19,8,18,1,8,34,11
"[5, 68]",20,10,21,-1,66,36,7
"[5, 69]",14,35,16,-4,61,27,13
"[5, 70]",15,1,14,-39,10,29,9
"[5, 71]",19,54,23,-6,54,32,4
"[5, 72]",20,34,19,-10,34,34,0
"[5, 73]",20,34,19,-10,2,37,-31
"[5, 74]",19,13,17,8,1,38,-29
"[5, 75]",22,54,21,-6,17,40,-7
"[5, 76]",18,46,19,2,38,31,12
"[5, 77]",19,33,18,6,61,39,13
"[5, 78]",25,40,21,1,48,40,6
"[5, 79]",22,20,23,4,80,38,19
"[5, 80]",18,31,18,8,15,29,4
"[5, 81]",16,55,20,7,3,32,15
"[5, 82]",18,18,16,0,51,31,1
"[5, 83]",13,30,14,-8,67,26,-1
"[5, 84]",24,9,20,-20,66,40,7
"[5, 85]",17,40,19,1,46,29,12
"[5, 86]",16,60,14,-4,37,24,8
"[5, 87]",22,70,21,0,61,36,13
"[5, 88]",24,22,24,2,22,41,12
"[5, 89]",23,81,21,5,81,38,15
"[5, 90]",19,49,18,-11,87,33,-31
"[6, 7]",14,44,15,-24,44,26,-14
"[6, 8]",11,35,12,-4,6,20,-6
"[6, 9]",14,18,17,0,30,25,2
"[6, 10]",19,77,21,-7,81,33,15
"[6, 11]",15,74,17,7,45,27,-13
"[6, 12]",13,54,13,-6,39,24,18
"[6, 13]",26,33,23,6,85,43,16
"[6, 14]",14,30,16,-8,87,24,-31
"[6, 15]",22,60,19,-4,77,38,3
"[6, 16]",17,15,16,-6,60,28,6
"[6, 17]",23,83,20,6,77,36,3
"[6, 18]",18,4,17,4,37,33,8
"[6, 19]",9,5,10,-62,7,18,17
"[6, 20]",16,15,18,-6,2,28,-31
"[6, 21]",16,30,16,-8,60,27,6
"[6, 22]",15,81,16,5,46,30,12
"[6, 23]",21,1,18,-39,28,33,0
"[6, 24]",16,28,17,-10,17,28,-7
"[6, 25]",17,43,18,3,43,32,13
"[6, 26]",15,5,13,-62,5,30,-52
"[6, 27]",19,69,21,9,77,38,3
"[6, 28]",17,26,18,-5,37,34,8
"[6, 29]",22,68,19,-31,20,36,14
"[6, 30]",23,85,20,6,22,39,12
"[6, 31]",14,60,15,-4,54,27,4
"[6, 32]",21,68,20,-31,8,33,11
"[6, 33]",24,56,25,-11,56,37,-1
"[6, 34]",12,83,17,6,83,24,16
"[6, 35]",21,68,22,-31,68,38,-21
"[6, 36]",10,10,12,-1,83,24,16
"[6, 37]",17,48,15,-4,48,29,6
"[6, 38]",18,15,19,-6,15,33,4
"[6, 39]",18,9,20,-20,23,32,10
"[6, 40]",17,58,18,9,58,31,19
"[6, 41]",15,66,19,-3,66,27,7
"[6, 42]",15,59,17,-4,40,28,11
"[6, 43]",9,58,11,9,58,18,19
"[6, 44]",17,58,16,9,54,31,4
"[6, 45]",7,74,9,7,1,14,-29
"[6, 46]",18,3,16,5,17,30,-7
"[6, 47]",15,43,16,3,43,29,13
"[6, 48]",19,56,18,-11,48,31,6
"[6, 49]",17,85,16,6,85,33,16
"[6, 50]",15,59,13,-4,15,26,4
"[6, 51]",27,35,22,-4,76,40,-1
"[6, 52]",9,65,11,-26,11,18,13
"[6, 53]",13,85,14,6,5,26,-52
"[6, 54]",18,78,19,-5,56,30,-1
"[6, 55]",9,34,9,-10,61,20,13
"[6, 56]",16,55,16,7,51,30,1
"[6, 57]",14,39,14,8,48,28,6
"[6, 58]",12,23,17,0,1,21,-29
"[6, 59]",19,3,17,5,56,32,-1
"[6, 60]",20,35,18,-4,75,36,19
"[6, 61]",12,5,12,-62,33,23,16
"[6, 62]",11,1,12,-39,1,21,-29
"[6, 63]",17,74,15,7,4,32,14
"[6, 64]",16,10,16,-1,74,32,17
"[6, 65]",15,48,15,-4,79,25,-3
"[6, 66]",16,26,16,-5,65,30,-16
"[6, 67]",21,75,21,9,90,37,3
"[6, 68]",18,38,16,2,15,29,4
"[6, 69]",19,83,18,6,60,35,6
"[6, 70]",10,9,11,-20,3,19,15
"[6, 71]",14,47,16,8,6,24,-6
"[6, 72]",17,30,18,-8,60,31,6
"[6, 73]",12,17,14,-17,68,27,-21
"[6, 74]",14,57,14,-3,80,26,19
"[6, 75]",13,54,13,-6,44,24,-14
"[6, 76]",11,30,12,-8,29,21,8
"[6, 77]",15,30,16,-8,30,28,2
"[6, 78]",18,28,18,-10,60,33,6
"[6, 79]",19,60,21,-4,60,38,6
"[6, 80]",14,74,13,7,47,27,18
"[6, 81]",24,30,27,-8,81,39,15
"[6, 82]",15,72,17,-6,81,28,15
"[6, 83]",15,48,16,-4,59,26,6
"[6, 84]",18,66,16,-3,37,31,8
"[6, 85]",12,40,14,1,43,20,13
"[6, 86]",18,54,17,-6,81,36,15
"[6, 87]",21,75,22,9,1,33,-29
"[6, 88]",21,48,21,-4,40,35,11
"[6, 89]",21,8,20,1,47,34,18
"[6, 90]",15,49,15,-11,81,28,15
"[7, 8]",20,17,19,-17,17,33,-7
"[7, 9]",22,34,24,-10,34,42,0
"[7, 10]",20,83,18,6,18,37,10
"[7, 11]",11,82,12,5,89,22,14
"[7, 12]",16,76,18,-11,74,29,17
"[7, 13]",19,70,18,0,60,30,6
"[7, 14]",19,61,19,3,15,31,4
"[7, 15]",15,44,16,-24,40,31,11
"[7, 16]",15,74,16,7,74,27,17
"[7, 17]",18,47,18,8,61,30,13
"[7, 18]",15,53,15,-10,35,32,6
"[7, 19]",17,49,16,-11,76,29,-1
"[7, 20]",18,13,19,8,53,35,0
"[7, 21]",17,34,18,-10,13,29,18
"[7, 22]",18,46,17,2,20,32,14
"[7, 23]",13,50,13,-4,50,27,6
"[7, 24]",19,66,23,-3,66,32,7
"[7, 25]",16,89,16,4,37,33,8
"[7, 26]",14,89,17,4,40,26,11
"[7, 27]",16,51,14,-9,65,29,-16
"[7, 28]",14,49,14,-11,20,26,14
"[7, 29]",17,53,18,-10,53,37,0
"[7, 30]",18,74,19,7,23,29,10
"[7, 31]",18,49,23,-11,9,35,-10
"[7, 32]",21,28,22,-10,37,35,8
"[7, 33]",15,30,15,-8,51,29,1
"[7, 34]",16,81,17,5,30,26,2
"[7, 35]",20,38,18,2,62,31,-13
"[7, 36]",19,83,20,6,51,31,1
"[7, 37]",12,3,13,5,30,21,2
"[7, 38]",14,5,14,-62,10,25,9
"[7, 39]",20,85,20,6,85,33,16
"[7, 40]",26,20,24,4,20,43,14
"[7, 41]",11,65,15,-26,65,24,-16
"[7, 42]",11,2,14,-41,35,22,6
"[7, 43]",12,89,14,4,89,22,14
"[7, 44]",19,39,18,8,2,34,-31
"[7, 45]",14,51,14,-9,2,26,-31
"[7, 46]",16,54,16,-6,61,29,13
"[7, 47]",14,55,14,7,20,25,14
"[7, 48]",21,17,20,-17,23,33,10
"[7, 49]",14,1,14,-39,1,25,-29
"[7, 50]",10,47,11,8,1,19,-29
"[7, 51]",14,37,15,-2,3,30,15
"[7, 52]",16,17,17,-17,17,29,-7
"[7, 53]",12,3,12,5,3,21,15
"[7, 54]",20,11,19,3,11,33,13
"[7, 55]",19,61,20,3,23,32,10
"[7, 56]",16,1,15,-39,40,29,11
"[7, 57]",14,14,16,-1,53,29,0
"[7, 58]",25,69,25,9,53,40,0
"[7, 59]",20,39,19,8,61,31,13
"[7, 60]",20,23,21,0,48,34,6
"[7, 61]",18,10,17,-1,66,31,7
"[7, 62]",22,90,22,-7,59,36,6
"[7, 63]",13,14,16,-1,36,26,15
"[7, 64]",16,14,15,-1,34,27,0
"[7, 65]",12,29,13,-2,11,25,13
"[7, 66]",22,53,20,-10,23,39,10
